实体1,实体2,关系
 多态, 参数多态,
 多态, 多型 (计算机科学),
 多态, 泛型,
 多态, 特设多态,
 抽象数据类型, 串行 (抽象数据型别),
 抽象数据类型, 关联数组,
 抽象数据类型, 堆栈,
 抽象数据类型, 多重关连数组,
 抽象数据类型, 容器 (抽象数据类型),
 抽象数据类型, 抽象数据型别,
 抽象数据类型, 生成器 (计算机编程),
 抽象数据类型, 迭代器,
 抽象数据类型, 队列,
 抽象数据类型, 集合 (计算机科学),
 伪随机数生成器, 双椭圆曲线确定性随机数发生器,
 伪随机数生成器, 平方取中法,
 伪随机数生成器, 线性同余方法,
 蒙地卡罗方法, 吉布斯采样,
 蒙地卡罗方法, 并行退火,
 蒙地卡罗方法, 拟蒙特卡罗方法,
 蒙地卡罗方法, 控制变量法,
 蒙地卡罗方法, 斯温森－王算法,
 蒙地卡罗方法, 梅特罗波利斯－黑斯廷斯算法,
 蒙地卡罗方法, 模拟退火,
 蒙地卡罗方法, 粒子滤波器,
 蒙地卡罗方法, 蒙地卡罗方法,
 蒙地卡罗方法, 蒙特卡洛树搜索,
 蒙地卡罗方法, 逆变换采样,
 蒙地卡罗方法, 重要性采样,
 伪随机数生成器, 双椭圆曲线确定性随机数发生器,
 伪随机数生成器, 平方取中法,
 伪随机数生成器, 线性同余方法,
 时间序列模型, 分布滞后,
 时间序列模型, 移动平均模型,
 等候理论, Draft,
 等候理论, 出生-死亡过程,
 等候理论, 利特尔法则,
 等候理论, 处理器亲和性,
 等候理论, 等候理论,
 等候理论, 罗斯猜想,
 等候理论, 队头阻塞,
 随机控制, 分离原理,
 随机控制, 部分可观察马可夫决策过程,
 随机控制, 马可夫决策过程,
 随机控制, 鲁棒控制,
 鞅论, 半鞅,
 鞅论, 维纳过程,
 鞅论, 鞅 (概率论),
 细胞自动机, Thompson构造法,
 细胞自动机, 下推自动机,
 细胞自动机, 半自动机,
 细胞自动机, 图灵机,
 细胞自动机, 嵌入下推自动机,
