title,detail,baseInfoKeyList,baseInfoValueList
 抽象数据类型,"""在计算机科学中，容器是指实例为其他类的对象的集合的类、数据结构、或者抽象数据类型。换言之，它们以一种遵循特定访问规则的系统的方法来存储对象。容器的大小取决于其包含的对象（或元素）的数目。潜在的不同容器类型的实现可能在空间和时间复杂度上有所差别，这使得在给定应用场景中选择合适的某种实现具有灵活性。""",中文:, 抽象数据类型
 伪随机数生成器,"""密码学安全伪随机数生成器（亦作密码学伪随机数生成器，英文：Cryptographicallysecurepseudorandomnumbergenerator，通称CSPRNG），是一种能够通过运算得出密码学安全伪随机数的伪随机数生成器。相较于统计学伪随机数生成器和更弱的伪随机数生成器，CSPRNG所生成的密码学安全伪随机数具有额外的伪随机属性。CSPRNG常被作为密码学原件，用以搭建更复杂的密码学应用。如，可变长CSPRNG和XOR函数搭配即构成流密码的编解码方法。""",中文:, 伪随机数生成器
 蒙地卡罗方法,"""蒙特卡罗方法（英语：MonteCarlomethod），也称统计模拟方法，是1940年代中期由于科学技术的发展和电子计算机的发明，而提出的一种以概率统计理论为指导的数值计算方法。是指使用随机数（或更常见的伪随机数）来解决很多计算问题的方法。20世纪40年代，在冯·诺伊曼，斯塔尼斯拉夫·烏拉姆和尼古拉斯·梅特罗波利斯在洛斯阿拉莫斯国家实验室为核武器计划工作时，发明了蒙特卡罗方法。因为烏拉姆的叔叔经常在摩納哥的蒙特卡洛赌场输钱得名，而蒙特卡罗方法正是以概率为基础的方法。与它对应的是确定性算法。蒙特卡罗方法在金融工程学、宏观经济学、生物医学、计算物理学（如粒子输运计算、量子热力学计算、空气动力学计算）机器学习等领域应用广泛。""",中文:, 蒙地卡罗方法
 时间序列模型,"""时间序列（英语：timeseries）是一组按照时间发生先后顺序进行排列的数据点序列。通常一组时间序列的时间间隔为一恒定值（如1秒，5分钟，12小时，7天，1年），因此时间序列可以作为离散时间数据进行分析处理。时间序列广泛应用于数理统计、信号处理、模式识别、计量经济学、数学金融、天气预报、地震预测、脑电图、控制工程、航空学、通信工程以及绝大多数涉及到时间数据测量的应用科学与工程学。""",中文:, 时间序列模型
 等候理论,"""排队论（英语：queuingtheory），或称随机服务系统理论、排隊理論，是数学运筹学的分支学科。它是研究服务系统中排队现象随机规律的学科。广泛应用于電信，交通工程，计算机网络、生产、运输、库存等各项资源共享的随机服务系统，和工廠，商店，辦公室和醫院的設計。排队论研究的内容有3个方面：统计推断，根据资料建立模型；系统的性态，即和排队有关的数量指标的概率规律性；系统的最佳化问题。其目的是正确设计和有效运行各个服务系统，使之发挥最佳效益。""",中文:, 等候理论
 随机控制,"""鲁棒控制（英语：Robustcontrol）：所谓“鲁棒性”，是指控制系统在一定（结构，大小）的参数摄动下，维持某些性能的特性。是控制理论中的一个分支，是专门用来处理控制器设计时逼近的不确定性。鲁棒控制方法一般应用于只要在一些集合（特别是紧集合）中存在不确定参数或者扰动的情况。鲁棒控制意在使系统具有鲁棒性，并在存在有界建模误差的情况下使系统稳定。波特等人的早期控制方法已具有一定鲁棒性：早在1960年代和1970年代，状态空间方法刚被发明的时候，他们就发现有时候会缺少鲁棒性，并进行了进一步的研究和改进。这便是鲁棒控制的初始阶段，随后在80年代和90年代有具体的應用，并一直活跃至今。与自适应控制的对比：鲁棒控制专注于状态，而不是对变量的调整，控制器需要在基于某些变量未知但有界的假设下，才能够有效的工作。""",中文:, 随机控制
 鞅论,"""鞅（Martingale）於博弈论中的表示公平博弈的数学模型，在概率论中是满足下述条件的随机过程：已知过去某一时刻s以及之前所有时刻的观测值，若某一时刻t的观测值的条件期望等於过去某一时刻s的观测值，则称这一随机过程是鞅。""",中文:, 鞅论
 细胞自动机,"""細胞自動機（英语：Cellularautomaton），又稱格狀自動機、元胞自動機，是一種離散模型，在可算性理論、數學及理論生物學都有相關研究。它是由無限個有規律、堅硬的方格組成，每格均處於一種有限狀態。整個格網可以是任何有限維的。同時也是離散的。每格於t時的態由t-1時的一集有限格（這集叫那格的鄰域）的態決定。每一格的「鄰居」都是已被固定的。（一格可以是自己的鄰居。）每次演進時，每格均遵從同一規矩一齊演進。就形式而言，細胞自動機有三個特徵：平行計算（parallelcomputation）：每一個細胞個體都同時同步的改變局部的（local）：細胞的狀態變化只受周遭細胞的影響。一致性的（homogeneous）：所有細胞均受同樣的規則所支配""",中文:, 细胞自动机
 Lambda演算,"""λ演算（英語：lambdacalculus，λ-calculus）是一套從數學邏輯中發展，以變數綁定和替換的規則，來研究函式如何抽象化定義、函式如何被應用以及遞迴的形式系統。它由數學家阿隆佐·邱奇在20世紀30年代首次發表。Lambda演算作為一種廣泛用途的計算模型，可以清晰地定義什麼是一個可計算函式，而任何可計算函式都能以這種形式表達和求值，它能模擬單一磁帶图灵机的計算過程；儘管如此，Lambda演算強調的是變換規則的運用，而非實現它們的具體機器。Lambda演算可比擬是最根本的編程語言，它包括了一條變換規則（變數替換）和一條將函式抽象化定義的方式。因此普遍公認是一種更接近軟體而非硬體的方式。對函數式編程語言造成很大影響，比如Lisp、ML语言和Haskell语言。在1936年邱奇利用λ演算給出了對於判定性問題（Entscheidungsproblem）的否定：關於兩個lambda運算式是否等價的命題，無法由一個「通用的演算法」判斷，這是不可判定效能夠證明的頭一個問題，甚至還在停机问题之先。Lambda演算包括了建構lambda項，和對lambda項執行歸約的操作。在最簡單的lambda演算中，只使用以下的規則來建構lambda項：產生了諸如：(λx.λy.(λz.(λx.zx)(λy.zy))(xy)的表達式。如果表達式是明確而沒有歧義的，則括號可以省略。對於某些應用，其中可能包括了邏輯和數學的常量以及相關操作。本文讨论的是邱奇的“无类型lambda演算”，此后，已经研究出来了一些有类型lambda演算。""",中文:, Lambda演算
 类型论,"""在最广泛的层面上，类型论是关注把实体分类到叫做类型的搜集中的数学和逻辑分支。在这种意义上，它与类型的形而上学概念有关。现代类型论在部分上是响应罗素悖论而发明的，并在伯特兰·罗素和阿弗烈·诺夫·怀海德的《数学原理》中起到重要作用。在计算机科学分支中的编程语言理论中，类型论提供了设计分析和研究类型系统的形式基础。实际上，很多计算机科学家使用术语“类型论”来称呼对编程语言的类型语言的形式研究，尽管有些人把它限制于对更加抽象的形式化如有类型lambda演算的研究。""",中文:, 类型论
