title,label
 参数多态,newNode
 多型 (计算机科学),newNode
 泛型,newNode
 特设多态,newNode
 串行 (抽象数据型别),newNode
 关联数组,newNode
 堆栈,newNode
 多重关连数组,newNode
 容器 (抽象数据类型),newNode
 抽象数据型别,newNode
 生成器 (计算机编程),newNode
 迭代器,newNode
 队列,newNode
 集合 (计算机科学),newNode
 双椭圆曲线确定性随机数发生器,newNode
 平方取中法,newNode
 线性同余方法,newNode
 吉布斯采样,newNode
 并行退火,newNode
 拟蒙特卡罗方法,newNode
 控制变量法,newNode
 斯温森－王算法,newNode
 梅特罗波利斯－黑斯廷斯算法,newNode
 模拟退火,newNode
 粒子滤波器,newNode
 蒙地卡罗方法,newNode
 蒙特卡洛树搜索,newNode
 逆变换采样,newNode
 重要性采样,newNode
 分布滞后,newNode
 移动平均模型,newNode
 Draft,newNode
 出生-死亡过程,newNode
 利特尔法则,newNode
 处理器亲和性,newNode
 等候理论,newNode
 罗斯猜想,newNode
 队头阻塞,newNode
 分离原理,newNode
 部分可观察马可夫决策过程,newNode
 马可夫决策过程,newNode
 鲁棒控制,newNode
 半鞅,newNode
 维纳过程,newNode
 鞅 (概率论),newNode
 Thompson构造法,newNode
 下推自动机,newNode
 半自动机,newNode
 图灵机,newNode
 嵌入下推自动机,newNode
 嵌套堆栈自动机,newNode
 幂集构造,newNode
 摩尔型有限状态机,newNode
 有限状态机,newNode
 比哈姆-米德尔顿-莱文交通流量模型,newNode
 状态图,newNode
 状态转移表,newNode
 确定下推自动机,newNode
 确定有限状态自动机,newNode
 确定有限状态自动机最小化,newNode
 米利型有限状态机,newNode
 细胞自动机,newNode
 线性有界自动机,newNode
 自动机理论,newNode
 规则30,newNode
 非确定有限状态自动机,newNode
" B,C,K,W系统",newNode
 Beta范式,newNode
 Lambda立方体,newNode
 SKI组合子演算,newNode
 Λ演算,newNode
 不动点组合子,newNode
 匿名函数,newNode
 有类型λ演算,newNode
 构造演算,newNode
 柯里化,newNode
 简单类型λ演算,newNode
 类型居留问题,newNode
 系统F,newNode
 组合子逻辑,newNode
 蒙塔古语法,newNode
 规范化性质,newNode
 逻辑框架,newNode
 邱奇数,newNode
 高阶函数,newNode
 BHK释义,newNode
 ST类型论,newNode
 依赖类型,newNode
 值 (计算机科学),newNode
 协变与逆变,newNode
 原型程序设计,newNode
 合一,newNode
 同伦类型论,newNode
 型别安全,newNode
 型别构造器,newNode
 子类型,newNode
 定型环境,newNode
 开闭原则,newNode
 强弱型别,newNode
 数学结构,newNode
 新基础集合论,newNode
 柯里-霍华德同构,newNode
 直觉类型论,newNode
 类型推论,newNode
 类型擦除,newNode
 类型特征,newNode
 类型论,newNode
 类型转换,newNode
 组合范畴语法,newNode
 罗素公理体系,newNode
 里氏替换原则,newNode
 类型系统,newNode
 高阶逻辑,newNode
 鸭子类型,newNode
 NX级星舰,newNode
 曲速引擎,newNode
 阿库别瑞引擎,newNode
 伪随机性,newNode
 随机化算法,newNode
 RdRand,newNode
 梅森旋转算法,newNode
 随机数生成,newNode
 K-L 转换,newNode
 中餐馆过程,newNode
 主方程式,newNode
 伊藤引理,newNode
 伊藤过程,newNode
 伯努利过程,newNode
 停时,newNode
 几何布朗运动,newNode
 击中时,newNode
 可预测过程,newNode
 右连左极函数,newNode
 布朗桥,newNode
 布朗运动,newNode
 平稳过程,newNode
 循序可测过程,newNode
 查普曼-科尔莫戈罗夫等式,newNode
 泊松过程,newNode
 白噪声,newNode
 福克-普朗克方程,newNode
 维纳滤波,newNode
 维纳空间,newNode
 维纳－辛钦定理,newNode
 莱维过程,newNode
 费曼－卡茨公式,newNode
 赫斯特指数,newNode
 跳跃过程,newNode
 适应过程,newNode
 重对数律,newNode
 量子随机漫步,newNode
 随机分析,newNode
 随机变量的收敛,newNode
 随机图,newNode
 随机数列,newNode
 随机过程,newNode
 随机微分方程,newNode
 随机漫步,newNode
 马可夫过程,newNode
 马尔可夫性质,newNode
 马尔可夫链,newNode
 高斯噪声,newNode
 高斯过程,newNode
 Template,newNode
 布朗噪声,newNode
 噪声,newNode
 交替式图灵机,newNode
 判定器,newNode
 多带图灵机,newNode
 枚举器,newNode
 机率图灵机,newNode
 递归可枚举语言,newNode
 递归语言,newNode
 通用图灵机,newNode
 量子图灵机,newNode
 非确定型图灵机,newNode
 何积丰,newNode
 周巢尘,newNode
 达纳·斯科特,newNode
 Kripke结构,newNode
 一元谓词演算,newNode
 元组关系演算,newNode
 关系演算,newNode
 域关系演算,newNode
 存在图,newNode
 实体图,newNode
 希尔伯特演绎系统,newNode
 弗雷格命题演算,newNode
 相继式演算,newNode
 自然演绎,newNode
 蕴涵命题演算,newNode
 Amazon SimpleDB,newNode
 BSON,newNode
 CouchDB,newNode
 IBM Lotus Domino,newNode
 IBM Lotus Notes,newNode
 MongoDB,newNode
 文件导向的数据库,newNode
 契忍可夫辐射,newNode
 波前速度,newNode
 相速度,newNode
 瞬间移动,newNode
 群速度,newNode
 讯号速度,newNode
 超光速,newNode
 超光速运动,newNode
 随机性,newNode
 Acid1,newNode
 Acid2,newNode
 Acid3,newNode
 伊恩·希克森,newNode
 Set packing,newNode
 先决条件,newNode
 动态时序验证,newNode
 布尔可满足性问题,newNode
 形式化方法,newNode
 形式系统,newNode
 形式语义学,newNode
 形式验证,newNode
 循环不变量,newNode
 抽象释义,newNode
 指称语义,newNode
 断言 (程序),newNode
 时间分割测试,newNode
 概念验证,newNode
 生命攸关系统,newNode
 联合国大学国际软件技术研究所,newNode
 行为时序逻辑,newNode
 软件验证及确认,newNode
 通用唯一识别码,newNode
 集合论,newNode
 静态时序分析,newNode
 高低阶,newNode
 Bugzilla,newNode
 Fossil,newNode
 GitHub,newNode
 Gitlab,newNode
 GLPI,newNode
 JIRA,newNode
 Mantis,newNode
 Phabricator,newNode
 Redmine,newNode
 缺陷跟踪管理系统,newNode
 Gerrit,newNode
 Rietveld,newNode
 代码审查,newNode
 HP Quality Center,newNode
 Polyspace,newNode
 WebLOAD,newNode
 代码覆盖率,newNode
 Apache HTTP Server,newNode
 Caddy,newNode
 HAProxy,newNode
 Nginx,newNode
 Polipo,newNode
 Privoxy,newNode
 Squid (软件),newNode
 Tengine,newNode
 Traffic Server,newNode
 反向代理,newNode
 BitKeeper,newNode
 Git,newNode
 GNU arch,newNode
 分布式版本控制,newNode
 Bonsai (软件),newNode
 SVK,newNode
 修订控制系统,newNode
 Mozdev.org,newNode
 RubyForge,newNode
 Bigtable,newNode
 Cassandra,newNode
 LevelDB,newNode
 NoSQL,newNode
 Redis,newNode
 SequoiaDB,newNode
 Truncate,newNode
 Update,newNode
 删除 (SQL),newNode
 插入 (SQL),newNode
 查询 (SQL),newNode
 空值 (SQL),newNode
 连接 (SQL),newNode
 伽利略号探测器,newNode
 卡西尼-惠更斯号,newNode
 哈雷舰队,newNode
 乔托号,newNode
 堂吉诃德小行星防卫任务,newNode
 尤利西斯号,newNode
 彗星号,newNode
 星尘号,newNode
 曙光号,newNode
 会合-舒梅克号,newNode
 深度撞击号,newNode
 深空一号,newNode
 维加计划,newNode
 罗塞塔号,newNode
 菲莱登陆器,newNode
 隼鸟号,newNode
 露西号,newNode
 灵神星轨道器,newNode
 TARDIS,newNode
 封闭类时曲线,newNode
 快子,newNode
 时序保护猜想,newNode
 时间倒流,newNode
 时间悖论,newNode
 时间旅行,newNode
 时光机 (哆啦A梦),newNode
 时空旅人,newNode
 祖父悖论,newNode
 约翰·提托,newNode
